,sum
business,265.0
per,264.0
must,264.0
access,263.0
review,262.0
years,262.0
chair,261.0
components,260.0
initial,260.0
physical,260.0
scale,259.0
approaches,258.0
end,257.0
apply,256.0
factors,256.0
structure,255.0
optimal,255.0
necessary,255.0
agency,254.0
satellite,254.0
pacific,254.0
following,254.0
organizations,254.0
domain,253.0
analyses,252.0
virtual,252.0
atmospheric,252.0
equipment,251.0
additional,251.0
activity,251.0
layer,251.0
limited,250.0
improved,250.0
however,249.0
among,249.0
institute,249.0
material,248.0
collaborative,248.0
levels,247.0
educational,247.0
changes,245.0
due,245.0
coordination,244.0
signal,244.0
previous,243.0
appropriate,242.0
case,242.0
propagation,242.0
produce,241.0
moves,241.0
sources,241.0
supply,241.0
seeks,241.0
ensure,240.0
expected,239.0
platforms,238.0
problems,238.0
master,237.0
near,237.0
adaptive,237.0
maintenance,236.0
requires,233.0
goals,233.0
significant,233.0
analytical,232.0
laser,231.0
monterey,231.0
members,231.0
simulations,231.0
method,231.0
ships,231.0
working,231.0
four,230.0
water,230.0
operating,230.0
dynamics,230.0
dynamic,228.0
properties,227.0
role,227.0
undersea,227.0
travel,226.0
flow,226.0
instruction,224.0
demonstrate,224.0
experiment,223.0
individual,223.0
strategies,223.0
efficient,223.0
senior,223.0
hardware,223.0
vehicles,222.0
threats,221.0
capable,221.0
readiness,221.0
scenarios,220.0
facility,220.0
user,220.0
organization,219.0
decisions,219.0
underwater,217.0
events,216.0
theory,216.0
target,215.0
made,215.0
structures,214.0
recommendations,214.0
change,213.0
vehicle,213.0
ongoing,213.0
established,212.0
leverage,212.0
behavior,212.0
direct,212.0
surveillance,211.0
deployment,211.0
variety,210.0
platform,210.0
wave,209.0
optical,208.0
series,208.0
metrics,207.0
given,207.0
experimental,207.0
skills,206.0
costs,205.0
sensing,204.0
full,204.0
characteristics,204.0
region,204.0
subject,204.0
directed,203.0
context,203.0
workforce,202.0
beam,202.0
value,202.0
rapid,202.0
funds,202.0
products,201.0
deployed,200.0
event,199.0
recent,199.0
threat,199.0
require,197.0
fully,197.0
reduce,197.0
web,196.0
innovative,196.0
prediction,195.0
next,195.0
fuel,194.0
single,194.0
guidance,194.0
basic,194.0
analytic,194.0
peo,193.0
cloud,193.0
prototype,193.0
media,193.0
art,193.0
establish,193.0
professional,192.0
serve,192.0
certification,190.0
action,190.0
benefit,190.0
capacity,189.0
without,189.0
wide,188.0
exercises,188.0
questions,188.0
gaps,188.0
counter,188.0
civil,187.0
methodology,187.0
resource,187.0
commercial,186.0
advance,186.0
intended,186.0
c,185.0
researchers,185.0
china,185.0
university,185.0
organizational,184.0
interaction,184.0
uav,184.0
content,184.0
world,184.0
numerical,184.0
selected,184.0
devices,183.0
facilities,183.0
final,182.0
means,181.0
sponsored,181.0
form,181.0
building,181.0
experts,180.0
effect,180.0
budget,180.0
frequency,180.0
game,180.0
resolution,180.0
officer,180.0
common,179.0
partner,179.0
ice,179.0
standard,179.0
life,179.0
agencies,178.0
component,178.0
local,178.0
funded,178.0
result,178.0
machine,178.0
particularly,178.0
expeditionary,177.0
plans,177.0
novel,177.0
etc,175.0
tuition,175.0
follow,175.0
policies,175.0
sets,175.0
able,175.0
war,174.0
prepare,174.0
resident,174.0
continuing,174.0
public,174.0
practical,173.0
armed,173.0
identification,172.0
proposes,172.0
increased,172.0
efficiency,172.0
industry,172.0
units,171.0
radar,171.0
identifying,171.0
total,170.0
since,170.0
elements,170.0
ii,170.0
deliverables,170.0
extend,170.0
dr,170.0
initiative,170.0
complete,170.0
implement,169.0
main,169.0
integrate,169.0
transition,169.0
higher,169.0
groups,169.0
conflict,169.0
physics,169.0
computational,169.0
cubesat,168.0
site,168.0
methodologies,167.0
parameters,167.0
achieve,166.0
supported,166.0
influence,165.0
comprehensive,165.0
performed,165.0
directly,164.0
code,164.0
solution,164.0
improving,164.0
networking,164.0
assistance,164.0
point,163.0
procedures,163.0
sof,162.0
basis,162.0
along,161.0
enterprise,161.0
scenario,161.0
pre,160.0
successful,160.0
10,160.0
validation,160.0
quarter,160.0
assets,159.0
take,159.0
throughout,159.0
weapon,159.0
wind,158.0
continued,158.0
terrorism,158.0
federal,157.0
remote,157.0
general,157.0
commands,157.0
assurance,156.0
size,156.0
together,156.0
collected,156.0
leaders,156.0
unit,155.0
additionally,155.0
turbulence,155.0
internal,154.0
missile,154.0
might,154.0
curricula,153.0
present,153.0
aims,152.0
duty,152.0
participate,152.0
way,152.0
location,152.0
peacekeeping,151.0
teams,151.0
facilitate,151.0
traditional,151.0
search,151.0
stress,151.0
swarm,151.0
opportunity,150.0
matter,150.0
locations,150.0
increasing,150.0
highly,149.0
impacts,149.0
satellites,149.0
coordinated,149.0
robust,149.0
tactics,149.0
whether,149.0
boundary,148.0
features,148.0
accuracy,148.0
addresses,147.0
cycle,147.0
class,147.0
exercise,147.0
prior,147.0
speed,147.0
effectively,147.0
affect,146.0
attack,146.0
imaging,146.0
sna,145.0
ca,145.0
station,145.0
director,145.0
observations,145.0
protection,144.0
maintain,144.0
emphasis,144.0
un,144.0
topic,143.0
civilians,143.0
r,143.0
distribution,143.0
stakeholders,142.0
improvements,142.0
measures,142.0
offer,141.0
6,141.0
partners,141.0
asw,141.0
inform,141.0
aspects,141.0
depth,141.0
device,141.0
feasibility,141.0
submarine,140.0
focuses,140.0
function,140.0
towards,140.0
investigation,140.0
operate,140.0
demand,139.0
temperature,139.0
predict,139.0
regarding,139.0
stability,139.0
cognitive,139.0
week,139.0
cross,139.0
targets,139.0
arctic,139.0
california,138.0
resulting,138.0
3d,138.0
mine,138.0
options,138.0
rates,137.0
isr,137.0
become,137.0
computing,137.0
terms,137.0
latest,137.0
warfighter,136.0
contribute,136.0
resilience,136.0
engagement,136.0
delivered,136.0
evaluated,135.0
type,135.0
interdisciplinary,135.0
feedback,135.0
measure,135.0
aerial,134.0
self,134.0
ways,134.0
launch,134.0
financial,133.0
health,133.0
weather,133.0
thus,133.0
sponsors,133.0
dl,132.0
train,132.0
uses,132.0
tracking,132.0
combination,132.0
types,132.0
optics,132.0
commander,132.0
interface,132.0
alternative,131.0
mechanisms,131.0
documents,131.0
great,131.0
offered,131.0
period,131.0
past,131.0
usmc,131.0
conducting,130.0
relationships,130.0
five,130.0
operators,130.0
safety,129.0
automated,129.0
land,129.0
conjunction,129.0
ai,128.0
input,128.0
requested,128.0
failure,128.0
spectrum,128.0
accurate,127.0
initiatives,127.0
seminar,127.0
homeland,127.0
digital,127.0
electronic,126.0
scope,126.0
measurement,126.0
hsi,126.0
analysts,125.0
shelf,125.0
thinking,125.0
professionals,125.0
mechanical,125.0
osd,125.0
direction,125.0
behaviors,124.0
b,124.0
expand,124.0
deep,123.0
designs,123.0
rate,123.0
division,123.0
detailed,123.0
nations,123.0
gain,123.0
pressure,122.0
chain,122.0
generate,122.0
survey,122.0
broad,122.0
agreement,122.0
online,122.0
analytics,122.0
responsible,122.0
theses,122.0
nmso,122.0
relationship,122.0
improvement,122.0
demonstration,122.0
utilize,121.0
hel,121.0
shall,121.0
base,121.0
climate,121.0
navigation,120.0
hybrid,120.0
estimation,120.0
rapidly,120.0
discussions,120.0
forward,120.0
theater,120.0
pi,120.0
define,119.0
findings,119.0
defined,119.0
involve,119.0
significantly,119.0
extended,118.0
sharing,118.0
wargaming,118.0
known,118.0
position,118.0
radiation,117.0
place,117.0
already,117.0
bring,117.0
like,117.0
learned,117.0
challenge,117.0
makers,117.0
benefits,117.0
country,117.0
approximately,117.0
third,116.0
considered,116.0
opnav,116.0
enhanced,116.0
functional,116.0
constraints,116.0
signals,116.0
partnership,116.0
uncertainty,116.0
theoretical,116.0
electrical,115.0
nsa,115.0
previously,115.0
track,115.0
outcomes,115.0
communities,115.0
spatial,115.0
importance,115.0
involved,115.0
essential,114.0
either,114.0
assessing,114.0
sound,114.0
leveraging,114.0
fusion,114.0
met,114.0
anti,114.0
edge,114.0
validate,114.0
success,114.0
mirror,113.0
manage,113.0
situational,113.0
language,113.0
tests,113.0
characterize,113.0
planned,113.0
post,113.0
example,113.0
principal,112.0
vessels,112.0
border,112.0
30,111.0
monitoring,111.0
p,111.0
aid,111.0
scientific,110.0
electromagnetic,110.0
em,110.0
larger,110.0
forecast,110.0
times,110.0
investment,110.0
forecasts,110.0
secretary,110.0
radio,110.0
functions,110.0
uas,110.0
relations,110.0
cultural,110.0
incorporate,109.0
tropical,109.0
video,109.0
reports,109.0
nature,108.0
even,108.0
consist,108.0
wireless,108.0
workshops,108.0
annual,108.0
lessons,108.0
nation,108.0
0,108.0
probability,108.0
navair,108.0
institutions,108.0
recently,108.0
employment,107.0
exchange,107.0
output,107.0
suitable,107.0
mathematical,107.0
likely,107.0
compared,107.0
potentially,107.0
consider,107.0
interests,107.0
officials,107.0
relative,106.0
driven,106.0
leading,106.0
statistical,106.0
architectures,106.0
warfighting,106.0
thermal,106.0
c2,106.0
variability,106.0
literature,106.0
database,106.0
applicable,105.0
algorithm,105.0
implications,105.0
storage,105.0
users,105.0
creating,105.0
economic,105.0
amount,105.0
coastal,105.0
contractor,105.0
nato,105.0
document,104.0
determining,104.0
array,104.0
generated,104.0
around,104.0
light,104.0
reconnaissance,103.0
image,103.0
growing,103.0
2015,103.0
participation,103.0
domains,103.0
insight,103.0
combined,103.0
orbit,103.0
interactions,103.0
variables,103.0
useful,103.0
intent,102.0
survivability,102.0
roles,102.0
much,102.0
atmosphere,102.0
external,102.0
integrating,102.0
structured,102.0
countries,101.0
enabling,101.0
masl,101.0
patterns,101.0
mass,101.0
technique,100.0
asia,100.0
fy,100.0
assessments,100.0
guide,100.0
collaborate,100.0
2012,100.0
allows,100.0
internet,100.0
coordinate,100.0
cohort,100.0
reduced,99.0
trac,99.0
availability,99.0
vertical,99.0
half,99.0
sector,99.0
ccmr,99.0
se,99.0
challenging,99.0
agreed,99.0
often,99.0
progress,99.0
law,98.0
involving,98.0
actions,98.0
performing,98.0
request,98.0
pilot,98.0
central,98.0
risks,98.0
testbed,98.0
successfully,98.0
agent,98.0
path,98.0
flexible,98.0
standards,98.0
usw,97.0
principles,97.0
statement,97.0
back,97.0
similar,97.0
co,97.0
insights,97.0
engage,97.0
completed,96.0
strike,96.0
formation,96.0
implemented,96.0
laboratories,96.0
payload,96.0
mmowgli,96.0
metal,96.0
presence,96.0
predictive,95.0
fields,95.0
shipboard,95.0
airborne,95.0
led,95.0
learn,95.0
parts,95.0
quantitative,95.0
sailors,95.0
cases,95.0
al,95.0
nodes,95.0
operator,94.0
continuous,94.0
production,94.0
mapping,94.0
addressed,94.0
south,94.0
september,94.0
demonstrated,94.0
individuals,94.0
private,94.0
mou,94.0
seminars,94.0
advantage,94.0
medical,94.0
preliminary,93.0
estimate,93.0
exploring,93.0
applying,93.0
regions,93.0
characterization,93.0
20,93.0
run,93.0
cybersecurity,93.0
therefore,93.0
occur,93.0
fundamental,93.0
completion,92.0
littoral,92.0
employ,92.0
women,92.0
live,92.0
done,92.0
manufacturing,92.0
temporal,92.0
evolution,92.0
vulnerabilities,92.0
detect,92.0
waves,92.0
especially,92.0
big,92.0
cover,92.0
execute,92.0
tested,92.0
2014,92.0
coupled,92.0
analyzing,91.0
created,91.0
modern,91.0
motion,91.0
sufficient,91.0
capture,91.0
thz,91.0
involves,91.0
compare,91.0
formal,91.0
port,90.0
solar,90.0
culture,90.0
heat,90.0
engineers,90.0
early,90.0
conference,90.0
sonar,90.0
affairs,90.0
less,90.0
efficiently,90.0
quantify,90.0
continuation,89.0
maximize,89.0
uavs,89.0
visualization,89.0
primarily,89.0
deterrence,89.0
concern,89.0
describes,89.0
aviation,89.0
link,88.0
fly,88.0
utilized,88.0
summer,88.0
2011,88.0
iii,88.0
conventional,88.0
documentation,88.0
question,88.0
realistic,88.0
optimize,88.0
line,88.0
responsibilities,87.0
greater,87.0
ideas,87.0
transport,87.0
2018,87.0
commanders,87.0
directorate,87.0
interoperability,87.0
promote,87.0
alternatives,87.0
bandwidth,87.0
predictions,86.0
requirement,86.0
iws,86.0
actual,86.0
usn,86.0
precision,86.0
technological,86.0
finally,86.0
exploration,86.0
schedule,86.0
ultimately,86.0
yet,86.0
metoc,86.0
marines,85.0
electron,85.0
manager,85.0
error,85.0
adoption,85.0
stage,84.0
close,84.0
sustainment,84.0
nonlinear,84.0
manpower,84.0
allocation,84.0
sub,84.0
labor,84.0
others,83.0
teaching,83.0
transformation,83.0
deploy,83.0
utilizing,83.0
free,83.0
utility,83.0
career,83.0
2010,83.0
consists,83.0
accomplish,83.0
rf,82.0
scientists,82.0
least,82.0
produced,82.0
damage,82.0
persistent,82.0
2016,82.0
retention,82.0
lack,81.0
instructional,81.0
imagery,81.0
campaign,81.0
intellectual,81.0
dependent,81.0
lower,81.0
specialized,80.0
2009,80.0
hours,80.0
secure,80.0
spectral,80.0
select,80.0
enhancing,80.0
investigated,80.0
moa,80.0
cell,80.0
advances,80.0
capital,80.0
onboard,79.0
foundation,79.0
maneuver,79.0
return,79.0
c4i,79.0
verification,79.0
political,79.0
hands,79.0
reliability,79.0
investigator,79.0
focusing,79.0
cots,79.0
et,79.0
vision,79.0
allowing,78.0
aim,78.0
engine,78.0
mems,78.0
immediate,78.0
artificial,78.0
inputs,78.0
makes,77.0
shock,77.0
battlespace,77.0
last,77.0
meeting,77.0
changing,77.0
measured,77.0
observed,77.0
moving,77.0
cold,77.0
composite,77.0
beyond,77.0
mid,77.0
reporting,77.0
continues,77.0
priority,77.0
adversary,77.0
selection,77.0
analyzed,76.0
employed,76.0
oceanographic,76.0
attacks,76.0
proliferation,76.0
represent,76.0
difficult,76.0
peace,76.0
databases,76.0
maintaining,76.0
representation,76.0
12,76.0
participating,75.0
oversight,75.0
fiscal,75.0
desired,75.0
developments,75.0
extensive,75.0
symposium,75.0
offers,75.0
population,74.0
2008,74.0
transfer,74.0
incorporating,74.0
chief,74.0
reduction,74.0
fast,74.0
creation,74.0
managing,74.0
numerous,74.0
exploit,74.0
practice,74.0
nasa,74.0
newly,74.0
outreach,73.0
included,73.0
people,73.0
noise,73.0
complexity,73.0
sleep,73.0
controlled,73.0
agile,73.0
seek,73.0
gsbpp,73.0
contract,73.0
objects,73.0
update,73.0
step,73.0
cooperative,73.0
studied,73.0
phases,73.0
gap,73.0
coast,73.0
phd,73.0
dimensional,72.0
begin,72.0
band,72.0
2013,72.0
incorporated,72.0
teach,72.0
element,72.0
ied,72.0
host,72.0
cyclone,72.0
minimize,72.0
interdiction,72.0
fel,72.0
receive,71.0
links,71.0
idarm,71.0
situations,71.0
8,71.0
see,71.0
move,71.0
attend,71.0
implementing,71.0
net,71.0
15,71.0
valuable,70.0
six,70.0
underlying,70.0
discussion,70.0
leverages,70.0
peacekeepers,70.0
density,70.0
nrl,70.0
classes,70.0
spawar,70.0
infrared,70.0
look,70.0
venue,70.0
exploitation,70.0
explosive,70.0
centers,70.0
shallow,70.0
2017,70.0
educate,70.0
gas,69.0
structural,69.0
detonation,69.0
sites,69.0
situ,69.0
doctrine,69.0
otter,69.0
memorandum,69.0
navsea,69.0
profiles,69.0
mitigation,69.0
board,69.0
face,69.0
bed,69.0
limitations,69.0
shown,69.0
suite,69.0
wmd,69.0
addressing,69.0
conceptual,69.0
enforcement,69.0
shape,68.0
nswc,68.0
product,68.0
diverse,68.0
status,68.0
view,68.0
lethality,68.0
version,68.0
7,68.0
fall,68.0
points,68.0
sensitivity,68.0
president,68.0
examining,68.0
associate,68.0
top,68.0
accordance,68.0
strength,67.0
called,67.0
afghanistan,67.0
respond,67.0
reference,67.0
masters,67.0
idea,67.0
deploying,67.0
datasets,67.0
obtain,67.0
collaborators,67.0
scales,67.0
weight,67.0
stations,67.0
mode,67.0
derived,67.0
qualified,67.0
another,67.0
presentation,67.0
foreign,67.0
simulator,67.0
reflects,67.0
differences,67.0
ctfp,67.0
classification,67.0
credit,67.0
fires,66.0
linear,66.0
mesoscale,66.0
broader,66.0
autonomy,66.0
practitioners,66.0
chds,66.0
manned,66.0
irregular,66.0
independent,66.0
tailored,66.0
traffic,66.0
configuration,66.0
perspective,66.0
intensity,66.0
fire,66.0
contested,66.0
robotics,66.0
trends,66.0
centric,66.0
interagency,65.0
consumption,65.0
increasingly,65.0
furthermore,65.0
sensitive,65.0
stochastic,65.0
preparation,65.0
shared,65.0
skill,65.0
embassy,65.0
act,65.0
modes,65.0
equations,65.0
viability,65.0
estimates,65.0
estimating,65.0
find,65.0
enemy,65.0
cubesats,65.0
modified,65.0
reserve,65.0
mitigate,65.0
inter,65.0
directional,64.0
meetings,64.0
dmo,64.0
simulated,64.0
background,64.0
transmission,64.0
chemical,64.0
cells,64.0
baseline,64.0
warrior,64.0
graduates,64.0
de,64.0
purposes,64.0
ml,64.0
collect,64.0
administration,64.0
described,64.0
grid,64.0
historical,64.0
refine,63.0
obtained,63.0
growth,63.0
spray,63.0
certain,63.0
attitude,63.0
executed,63.0
nro,63.0
planners,63.0
simple,63.0
x,63.0
taught,63.0
manner,63.0
ultimate,63.0
18,63.0
exposure,63.0
disciplines,63.0
stimulate,63.0
professor,63.0
reach,63.0
values,63.0
russia,63.0
fidelity,62.0
programming,62.0
interfaces,62.0
warfighters,62.0
stand,62.0
vessel,62.0
aperture,62.0
share,62.0
stem,62.0
expert,62.0
accreditation,62.0
play,62.0
conops,62.0
40,62.0
volume,62.0
scheduled,62.0
reducing,62.0
repair,61.0
designing,61.0
velocity,61.0
cruser,61.0
hf,61.0
vulnerability,61.0
diversity,61.0
forecasting,61.0
labs,61.0
exist,61.0
governments,61.0
located,61.0
gps,61.0
still,61.0
instructors,61.0
chinese,61.0
inventory,61.0
cno,61.0
display,61.0
shore,60.0
sequence,60.0
combatant,60.0
observation,60.0
interested,60.0
toward,60.0
fluid,60.0
quickly,60.0
know,60.0
determined,60.0
evolving,60.0
portal,60.0
coded,60.0
allies,60.0
disaster,60.0
netsafa,59.0
account,59.0
body,59.0
electric,59.0
desires,59.0
give,59.0
adversaries,59.0
respect,59.0
evidence,59.0
timely,59.0
cwmd,59.0
trident,59.0
competition,59.0
evaluating,59.0
submarines,59.0
endurance,59.0
consortium,59.0
construct,59.0
2019,59.0
experienced,58.0
eo,58.0
russian,58.0
ready,58.0
earth,58.0
reliable,58.0
solid,58.0
geospatial,58.0
adapt,58.0
fused,58.0
africa,58.0
finding,58.0
coamps,58.0
darpa,58.0
networked,58.0
generating,58.0
forms,58.0
builds,58.0
targeting,58.0
added,58.0
presented,58.0
zone,58.0
c4isr,58.0
considerations,58.0
recovery,58.0
managerial,58.0
flux,58.0
strengths,58.0
examined,58.0
map,58.0
2007,58.0
month,58.0
package,57.0
factor,57.0
anticipated,57.0
24,57.0
received,57.0
san,57.0
battle,57.0
usage,57.0
da,57.0
int,57.0
answer,57.0
compliance,57.0
acquire,57.0
000,57.0
accomplished,57.0
proof,57.0
format,57.0
cutting,56.0
strong,56.0
entire,56.0
peer,56.0
msa,56.0
serves,56.0
passive,56.0
arp,56.0
13,56.0
mcea,56.0
entities,56.0
f,56.0
align,56.0
natural,56.0
foster,56.0
schedules,56.0
combustion,56.0
days,56.0
good,56.0
fund,56.0
pursuant,56.0
june,56.0
targeted,56.0
scattering,56.0
sa,56.0
thereby,56.0
battery,56.0
going,56.0
remain,56.0
slew,56.0
lcs,56.0
establishing,56.0
equipped,55.0
instrumentation,55.0
ir,55.0
proven,55.0
functionality,55.0
configurations,55.0
priorities,55.0
terrain,55.0
show,55.0
twin,55.0
bus,55.0
detail,55.0
worldwide,55.0
loss,55.0
railgun,55.0
presentations,55.0
drmi,55.0
protocol,55.0
situation,55.0
sow,55.0
intensive,54.0
mbse,54.0
trade,54.0
object,54.0
dtra,54.0
parameterizations,54.0
solve,54.0
subsequent,54.0
validated,54.0
reasoning,54.0
vector,54.0
fixed,54.0
oriented,54.0
separate,54.0
feature,54.0
responses,54.0
emergency,54.0
consultation,54.0
accelerate,54.0
extent,54.0
ad,54.0
va,54.0
achieving,54.0
positions,54.0
channel,54.0
deployable,54.0
criteria,54.0
informed,54.0
fy15,53.0
enables,53.0
date,53.0
charge,53.0
demands,53.0
modules,53.0
relatively,53.0
equivalent,53.0
carrier,53.0
outcome,53.0
transit,53.0
wargame,53.0
behavioral,53.0
demonstrations,53.0
renewable,53.0
advancing,53.0
coherent,53.0
meteorological,53.0
couple,53.0
generates,53.0
assignment,53.0
flexibility,53.0
aerospace,53.0
aerosol,53.0
17,53.0
forum,52.0
setting,52.0
gaming,52.0
flag,52.0
investigators,52.0
taking,52.0
placed,52.0
delivering,52.0
samples,52.0
explored,52.0
discuss,52.0
alone,52.0
363,52.0
parallel,52.0
consistent,52.0
careers,52.0
although,52.0
aimed,52.0
undertaken,52.0
assimilation,51.0
solving,51.0
century,51.0
represents,51.0
lectures,51.0
nwdc,51.0
storm,51.0
july,51.0
page,51.0
enabled,51.0
rules,51.0
capstone,51.0
connectivity,51.0
vtc,51.0
clusters,51.0
ew,51.0
v,51.0
2020,51.0
embedded,51.0
outside,51.0
picture,51.0
battlefield,51.0
designated,51.0
details,51.0
fatigue,50.0
classroom,50.0
soldiers,50.0
acceptance,50.0
guard,50.0
operationally,50.0
sponsorship,50.0
coalition,50.0
pis,50.0
inclusion,50.0
supplies,50.0
fabrication,50.0
held,50.0
applicability,50.0
residence,50.0
cause,50.0
ip,50.0
modality,50.0
paths,50.0
attrition,50.0
india,50.0
cmg,50.0
crowd,50.0
representative,50.0
frequencies,50.0
typically,50.0
found,50.0
taken,50.0
frameworks,50.0
offering,50.0
propulsion,50.0
terrorist,50.0
longer,50.0
reaction,50.0
optimized,50.0
dominance,50.0
identity,50.0
flows,50.0
segmented,49.0
duration,49.0
uuv,49.0
managers,49.0
properly,49.0
topology,49.0
nsw,49.0
construction,49.0
sessions,49.0
arms,49.0
philippines,49.0
built,49.0
easily,49.0
responsibility,49.0
seaweb,49.0
tasking,49.0
coverage,49.0
synthetic,49.0
loading,49.0
modular,49.0
16,49.0
achieved,49.0
describe,49.0
reimbursable,49.0
urban,49.0
deputy,49.0
agility,49.0
mathematics,49.0
calibration,49.0
library,49.0
specified,49.0
robotic,48.0
countering,48.0
computers,48.0
kinetic,48.0
codes,48.0
departments,48.0
systematic,48.0
interactive,48.0
far,48.0
ssc,48.0
mix,48.0
american,48.0
introduction,48.0
comparison,48.0
sense,48.0
covered,48.0
headquarters,48.0
north,48.0
stages,48.0
shaping,48.0
recruiting,48.0
protocols,48.0
corrosion,48.0
utilization,48.0
spring,48.0
synthesis,48.0
mcwl,48.0
stable,47.0
iw,47.0
contemporary,47.0
attention,47.0
carry,47.0
n,47.0
covers,47.0
attached,47.0
actionable,47.0
dedicated,47.0
limits,47.0
employees,47.0
east,47.0
ms,47.0
fluxes,47.0
oceanography,47.0
producing,47.0
advantages,47.0
clear,47.0
camp,47.0
